Contest,Candidate Issue,Party,Precinct Name,Total Votes,% of Total Votes
Representative in Congress District 1,Phil Ehr,DEM,Precinct 43,1337,28.88
Representative in Congress District 1,Phil Ehr,DEM,Precinct 46,965,43.86
Representative in Congress District 1,Phil Ehr,DEM,Precinct 47,660,65.80
Representative in Congress District 1,Phil Ehr,DEM,Precinct 48,948,83.45
Representative in Congress District 1,Phil Ehr,DEM,Precinct 49,706,53.28
Representative in Congress District 1,Phil Ehr,DEM,Precinct 50,280,56.00
Representative in Congress District 1,Phil Ehr,DEM,Precinct 51,1292,48.92
Representative in Congress District 1,Phil Ehr,DEM,Precinct 54,757,42.67
Representative in Congress District 1,Phil Ehr,DEM,Precinct 55,673,37.43
Representative in Congress District 1,Phil Ehr,DEM,Precinct 56,1046,65.91
Representative in Congress District 1,Phil Ehr,DEM,Precinct 58,393,44.46
Representative in Congress District 1,Phil Ehr,DEM,Precinct 60,589,80.57
Representative in Congress District 1,Phil Ehr,DEM,Precinct 61,980,45.69
Representative in Congress District 1,Phil Ehr,DEM,Precinct 62,1253,50.65
Representative in Congress District 1,Phil Ehr,DEM,Precinct 63,725,92.36
Representative in Congress District 1,Phil Ehr,DEM,Precinct 64,1089,49.08
Representative in Congress District 1,Phil Ehr,DEM,Precinct 67,1601,33.12
Representative in Congress District 1,Phil Ehr,DEM,Precinct 68,701,37.87
Representative in Congress District 1,Phil Ehr,DEM,Precinct 69,1925,51.47
Representative in Congress District 1,Phil Ehr,DEM,Precinct 70,1209,55.95
Representative in Congress District 1,Phil Ehr,DEM,Precinct 71,746,53.29
Representative in Congress District 1,Phil Ehr,DEM,Precinct 72,369,50.07
Representative in Congress District 1,Phil Ehr,DEM,Precinct 73,1203,37.68
Representative in Congress District 1,Phil Ehr,DEM,Precinct 74,1296,28.18
Representative in Congress District 1,Phil Ehr,DEM,Precinct 75,1322,44.11
Representative in Congress District 1,Phil Ehr,DEM,Precinct 77,887,59.45
Representative in Congress District 1,Phil Ehr,DEM,Precinct 80,355,41.23
Representative in Congress District 1,Phil Ehr,DEM,Precinct 82,401,58.63
Representative in Congress District 1,Phil Ehr,DEM,Precinct 83,700,39.41
Representative in Congress District 1,Phil Ehr,DEM,Precinct 86,1008,43.90
Representative in Congress District 1,Phil Ehr,DEM,Precinct 88,741,50.31
Representative in Congress District 1,Phil Ehr,DEM,Precinct 90,860,77.48
Representative in Congress District 1,Phil Ehr,DEM,Precinct 91,2057,45.10
Representative in Congress District 1,Phil Ehr,DEM,Precinct 94,753,31.14
Representative in Congress District 1,Phil Ehr,DEM,Precinct 95,561,32.02
Representative in Congress District 1,Phil Ehr,DEM,Precinct 97,656,44.53
Representative in Congress District 1,Phil Ehr,DEM,Precinct 98,2068,80.69
Representative in Congress District 1,Phil Ehr,DEM,Precinct 99,482,40.13
Representative in Congress District 1,Phil Ehr,DEM,Precinct 101,729,39.88
Representative in Congress District 1,Phil Ehr,DEM,Precinct 102,902,43.98
Representative in Congress District 1,Phil Ehr,DEM,Precinct 103,1186,71.97
Representative in Congress District 1,Phil Ehr,DEM,Precinct 104,1083,67.81
Representative in Congress District 1,Phil Ehr,DEM,Precinct 105,1164,29.32
Representative in Congress District 1,Phil Ehr,DEM,Precinct 106,771,47.68
Representative in Congress District 1,Phil Ehr,DEM,Precinct 107,1560,46.19
Representative in Congress District 1,Phil Ehr,DEM,Precinct 108,1427,48.70
Representative in Congress District 1,Phil Ehr,DEM,Precinct 110,182,13.03
Representative in Congress District 1,Phil Ehr,DEM,Precinct 111,1067,41.55
Representative in Congress District 1,Phil Ehr,DEM,Precinct 112,1846,34.80
Representative in Congress District 1,Phil Ehr,DEM,Precinct 113,507,46.60
Representative in Congress District 1,Phil Ehr,DEM,Precinct 114,659,27.72
Representative in Congress District 1,Albert Oram,NPA,Precinct 1,64,1.66
Representative in Congress District 1,Albert Oram,NPA,Precinct 3,41,1.49
Representative in Congress District 1,Albert Oram,NPA,Precinct 5,41,1.63
Representative in Congress District 1,Albert Oram,NPA,Precinct 6,19,1.37
Representative in Congress District 1,Albert Oram,NPA,Precinct 7,47,0.92
Representative in Congress District 1,Albert Oram,NPA,Precinct 11,7,0.75
Representative in Congress District 1,Albert Oram,NPA,Precinct 14,19,1.21
Representative in Congress District 1,Albert Oram,NPA,Precinct 15,20,1.11
Representative in Congress District 1,Albert Oram,NPA,Precinct 18,7,1.49
Representative in Congress District 1,Albert Oram,NPA,Precinct 19,34,0.99
Representative in Congress District 1,Albert Oram,NPA,Precinct 21,31,1.27
Representative in Congress District 1,Albert Oram,NPA,Precinct 22,9,1.12
Representative in Congress District 1,Albert Oram,NPA,Precinct 23,0,0.00
Representative in Congress District 1,Albert Oram,NPA,Precinct 24,41,1.43
Representative in Congress District 1,Albert Oram,NPA,Precinct 25,24,2.22
Representative in Congress District 1,Albert Oram,NPA,Precinct 26,72,1.50
Representative in Congress District 1,Albert Oram,NPA,Precinct 28,27,1.45
Representative in Congress District 1,Albert Oram,NPA,Precinct 29,13,0.89
Representative in Congress District 1,Albert Oram,NPA,Precinct 30,18,0.85
Representative in Congress District 1,Albert Oram,NPA,Precinct 31,20,1.29
Representative in Congress District 1,Albert Oram,NPA,Precinct 32,9,1.89
Representative in Congress District 1,Albert Oram,NPA,Precinct 33,5,0.50
Representative in Congress District 1,Albert Oram,NPA,Precinct 34,29,1.62
Representative in Congress District 1,Albert Oram,NPA,Precinct 35,27,1.47
Representative in Congress District 1,Albert Oram,NPA,Precinct 36,31,1.19
Representative in Congress District 1,Albert Oram,NPA,Precinct 38,34,1.07
Representative in Congress District 1,Albert Oram,NPA,Precinct 40,8,0.55
Representative in Congress District 1,Albert Oram,NPA,Precinct 41,26,1.32
Representative in Congress District 1,Albert Oram,NPA,Precinct 42,23,0.95
Representative in Congress District 1,Albert Oram,NPA,Precinct 43,40,0.86
Representative in Congress District 1,Albert Oram,NPA,Precinct 46,18,0.82
Representative in Congress District 1,Albert Oram,NPA,Precinct 47,24,2.39
Representative in Congress District 1,Albert Oram,NPA,Precinct 48,12,1.06
Representative in Congress District 1,Albert Oram,NPA,Precinct 49,33,2.49
Representative in Congress District 1,Albert Oram,NPA,Precinct 50,3,0.60
Representative in Congress District 1,Albert Oram,NPA,Precinct 51,52,1.97
Representative in Congress District 1,Albert Oram,NPA,Precinct 54,21,1.18
Representative in Congress District 1,Albert Oram,NPA,Precinct 55,30,1.67
Representative in Congress District 1,Albert Oram,NPA,Precinct 56,28,1.76
Representative in Congress District 1,Albert Oram,NPA,Precinct 58,7,0.79
Representative in Congress District 1,Albert Oram,NPA,Precinct 60,14,1.92
Representative in Congress District 1,Albert Oram,NPA,Precinct 61,44,2.05
Representative in Congress District 1,Albert Oram,NPA,Precinct 62,36,1.46
Representative in Congress District 1,Albert Oram,NPA,Precinct 63,10,1.27
Representative in Congress District 1,Albert Oram,NPA,Precinct 64,29,1.31
Representative in Congress District 1,Albert Oram,NPA,Precinct 67,55,1.14
Representative in Congress District 1,Albert Oram,NPA,Precinct 68,21,1.13
Representative in Congress District 1,Albert Oram,NPA,Precinct 69,62,1.66
Representative in Congress District 1,Albert Oram,NPA,Precinct 70,29,1.34
Representative in Congress District 1,Albert Oram,NPA,Precinct 71,22,1.57
Representative in Congress District 1,Albert Oram,NPA,Precinct 72,12,1.63
Representative in Congress District 1,Albert Oram,NPA,Precinct 73,50,1.57
Representative in Congress District 1,Albert Oram,NPA,Precinct 74,69,1.50
Representative in Congress District 1,Albert Oram,NPA,Precinct 75,62,2.07
Representative in Congress District 1,Albert Oram,NPA,Precinct 77,23,1.54
Representative in Congress District 1,Albert Oram,NPA,Precinct 80,18,2.09
Representative in Congress District 1,Albert Oram,NPA,Precinct 82,12,1.75
Representative in Congress District 1,Albert Oram,NPA,Precinct 83,32,1.80
Representative in Congress District 1,Albert Oram,NPA,Precinct 86,36,1.57
Representative in Congress District 1,Albert Oram,NPA,Precinct 88,16,1.09
Representative in Congress District 1,Albert Oram,NPA,Precinct 90,12,1.08
Representative in Congress District 1,Albert Oram,NPA,Precinct 91,64,1.40
Representative in Congress District 1,Albert Oram,NPA,Precinct 94,24,0.99
Representative in Congress District 1,Albert Oram,NPA,Precinct 95,24,1.37
Representative in Congress District 1,Albert Oram,NPA,Precinct 97,16,1.09
Representative in Congress District 1,Albert Oram,NPA,Precinct 98,36,1.40
Representative in Congress District 1,Albert Oram,NPA,Precinct 99,17,1.42
Representative in Congress District 1,Albert Oram,NPA,Precinct 101,33,1.81
Representative in Congress District 1,Albert Oram,NPA,Precinct 102,28,1.37
Representative in Congress District 1,Albert Oram,NPA,Precinct 103,26,1.58
Representative in Congress District 1,Albert Oram,NPA,Precinct 104,33,2.07
Representative in Congress District 1,Albert Oram,NPA,Precinct 105,28,0.71
Representative in Congress District 1,Albert Oram,NPA,Precinct 106,30,1.86
Representative in Congress District 1,Albert Oram,NPA,Precinct 107,42,1.24
Representative in Congress District 1,Albert Oram,NPA,Precinct 108,36,1.23
Representative in Congress District 1,Albert Oram,NPA,Precinct 110,11,0.79
Representative in Congress District 1,Albert Oram,NPA,Precinct 111,35,1.36
Representative in Congress District 1,Albert Oram,NPA,Precinct 112,65,1.23
Representative in Congress District 1,Albert Oram,NPA,Precinct 113,20,1.84
Representative in Congress District 1,Albert Oram,NPA,Precinct 114,22,0.93
State Senator District 1,Douglas V. Broxson,REP,Precinct 1,2236,58.84
State Senator District 1,Douglas V. Broxson,REP,Precinct 3,1582,57.82
State Senator District 1,Douglas V. Broxson,REP,Precinct 5,1851,74.37
State Senator District 1,Douglas V. Broxson,REP,Precinct 6,994,72.40
State Senator District 1,Douglas V. Broxson,REP,Precinct 7,3792,74.88
State Senator District 1,Douglas V. Broxson,REP,Precinct 11,767,83.92
State Senator District 1,Douglas V. Broxson,REP,Precinct 14,310,19.97
State Senator District 1,Douglas V. Broxson,REP,Precinct 15,1108,62.99
State Senator District 1,Douglas V. Broxson,REP,Precinct 18,418,89.70
State Senator District 1,Douglas V. Broxson,REP,Precinct 19,2876,84.27
State Senator District 1,Douglas V. Broxson,REP,Precinct 21,1610,66.64
State Senator District 1,Douglas V. Broxson,REP,Precinct 22,337,42.34
State Senator District 1,Douglas V. Broxson,REP,Precinct 23,588,90.05
State Senator District 1,Douglas V. Broxson,REP,Precinct 24,1785,63.01
State Senator District 1,Douglas V. Broxson,REP,Precinct 25,625,58.80
State Senator District 1,Douglas V. Broxson,REP,Precinct 26,3090,65.04
State Senator District 1,Douglas V. Broxson,REP,Precinct 28,284,15.30
State Senator District 1,Douglas V. Broxson,REP,Precinct 29,588,40.95
State Senator District 1,Douglas V. Broxson,REP,Precinct 30,1390,66.51
State Senator District 1,Douglas V. Broxson,REP,Precinct 31,477,31.16
State Senator District 1,Douglas V. Broxson,REP,Precinct 32,248,52.65
State Senator District 1,Douglas V. Broxson,REP,Precinct 33,914,92.04
State Senator District 1,Douglas V. Broxson,REP,Precinct 34,421,23.61
State Senator District 1,Douglas V. Broxson,REP,Precinct 35,1068,58.91
State Senator District 1,Douglas V. Broxson,REP,Precinct 36,1941,74.54
State Senator District 1,Douglas V. Broxson,REP,Precinct 38,2256,71.37
State Senator District 1,Douglas V. Broxson,REP,Precinct 40,839,58.55
State Senator District 1,Douglas V. Broxson,REP,Precinct 41,905,46.75
State Senator District 1,Douglas V. Broxson,REP,Precinct 42,1606,67.22
State Senator District 1,Douglas V. Broxson,REP,Precinct 43,3414,74.25
State Senator District 1,Douglas V. Broxson,REP,Precinct 46,1452,66.85
State Senator District 1,Douglas V. Broxson,REP,Precinct 47,332,33.74
State Senator District 1,Douglas V. Broxson,REP,Precinct 48,176,15.62
State Senator District 1,Douglas V. Broxson,REP,Precinct 49,639,48.82
State Senator District 1,Douglas V. Broxson,REP,Precinct 50,266,53.74
State Senator District 1,Douglas V. Broxson,REP,Precinct 51,1426,54.43
State Senator District 1,Douglas V. Broxson,REP,Precinct 54,1068,60.54
State Senator District 1,Douglas V. Broxson,REP,Precinct 55,1171,65.49
State Senator District 1,Douglas V. Broxson,REP,Precinct 56,590,37.60
State Senator District 1,Douglas V. Broxson,REP,Precinct 58,572,65.30
State Senator District 1,Douglas V. Broxson,REP,Precinct 60,140,19.34
State Senator District 1,Douglas V. Broxson,REP,Precinct 61,1182,55.86
State Senator District 1,Douglas V. Broxson,REP,Precinct 62,1246,50.88
State Senator District 1,Douglas V. Broxson,REP,Precinct 63,58,7.44
State Senator District 1,Douglas V. Broxson,REP,Precinct 64,1201,54.92
State Senator District 1,Douglas V. Broxson,REP,Precinct 67,3359,70.29
State Senator District 1,Douglas V. Broxson,REP,Precinct 68,1175,64.14
State Senator District 1,Douglas V. Broxson,REP,Precinct 69,1857,50.20
State Senator District 1,Douglas V. Broxson,REP,Precinct 70,997,46.61
State Senator District 1,Douglas V. Broxson,REP,Precinct 71,704,50.76
State Senator District 1,Douglas V. Broxson,REP,Precinct 72,400,55.33
State Senator District 1,Douglas V. Broxson,REP,Precinct 73,2048,64.67
State Senator District 1,Douglas V. Broxson,REP,Precinct 74,3386,74.30
State Senator District 1,Douglas V. Broxson,REP,Precinct 75,1677,56.52
State Senator District 1,Douglas V. Broxson,REP,Precinct 77,617,41.89
State Senator District 1,Douglas V. Broxson,REP,Precinct 80,499,59.19
State Senator District 1,Douglas V. Broxson,REP,Precinct 82,281,41.69
State Senator District 1,Douglas V. Broxson,REP,Precinct 83,1108,63.13
State Senator District 1,Douglas V. Broxson,REP,Precinct 86,1329,58.34
State Senator District 1,Douglas V. Broxson,REP,Precinct 88,763,52.44
State Senator District 1,Douglas V. Broxson,REP,Precinct 90,258,23.39
State Senator District 1,Douglas V. Broxson,REP,Precinct 91,2613,58.30
State Senator District 1,Douglas V. Broxson,REP,Precinct 94,1791,74.66
State Senator District 1,Douglas V. Broxson,REP,Precinct 95,1205,69.86
State Senator District 1,Douglas V. Broxson,REP,Precinct 97,953,65.18
State Senator District 1,Douglas V. Broxson,REP,Precinct 98,522,20.58
State Senator District 1,Douglas V. Broxson,REP,Precinct 99,732,61.41
State Senator District 1,Douglas V. Broxson,REP,Precinct 101,1112,61.47
State Senator District 1,Douglas V. Broxson,REP,Precinct 102,1206,59.53
State Senator District 1,Douglas V. Broxson,REP,Precinct 103,452,27.58
State Senator District 1,Douglas V. Broxson,REP,Precinct 104,516,32.45
State Senator District 1,Douglas V. Broxson,REP,Precinct 105,2914,74.68
State Senator District 1,Douglas V. Broxson,REP,Precinct 106,871,54.27
State Senator District 1,Douglas V. Broxson,REP,Precinct 107,1995,59.41
State Senator District 1,Douglas V. Broxson,REP,Precinct 108,1582,54.59
State Senator District 1,Douglas V. Broxson,REP,Precinct 110,1220,87.71
State Senator District 1,Douglas V. Broxson,REP,Precinct 111,1572,61.79
State Senator District 1,Douglas V. Broxson,REP,Precinct 112,3586,68.27
State Senator District 1,Douglas V. Broxson,REP,Precinct 113,587,54.60
State Senator District 1,Douglas V. Broxson,REP,Precinct 114,1774,75.30
State Senator District 1,Karen M. Butler,DEM,Precinct 1,1564,41.16
State Senator District 1,Karen M. Butler,DEM,Precinct 3,1154,42.18
State Senator District 1,Karen M. Butler,DEM,Precinct 5,638,25.63
State Senator District 1,Karen M. Butler,DEM,Precinct 6,379,27.60
State Senator District 1,Karen M. Butler,DEM,Precinct 7,1272,25.12
State Senator District 1,Karen M. Butler,DEM,Precinct 11,147,16.08
State Senator District 1,Karen M. Butler,DEM,Precinct 14,1242,80.03
State Senator District 1,Karen M. Butler,DEM,Precinct 15,651,37.01
State Senator District 1,Karen M. Butler,DEM,Precinct 18,48,10.30
State Senator District 1,Karen M. Butler,DEM,Precinct 19,537,15.73
State Senator District 1,Karen M. Butler,DEM,Precinct 21,806,33.36
State Senator District 1,Karen M. Butler,DEM,Precinct 22,459,57.66
State Senator District 1,Karen M. Butler,DEM,Precinct 23,65,9.95
State Senator District 1,Karen M. Butler,DEM,Precinct 24,1048,36.99
State Senator District 1,Karen M. Butler,DEM,Precinct 25,438,41.20
State Senator District 1,Karen M. Butler,DEM,Precinct 26,1661,34.96
State Senator District 1,Karen M. Butler,DEM,Precinct 28,1572,84.70
State Senator District 1,Karen M. Butler,DEM,Precinct 29,848,59.05
State Senator District 1,Karen M. Butler,DEM,Precinct 30,700,33.49
State Senator District 1,Karen M. Butler,DEM,Precinct 31,1054,68.84
State Senator District 1,Karen M. Butler,DEM,Precinct 32,223,47.35
State Senator District 1,Karen M. Butler,DEM,Precinct 33,79,7.96
State Senator District 1,Karen M. Butler,DEM,Precinct 34,1362,76.39
State Senator District 1,Karen M. Butler,DEM,Precinct 35,745,41.09
State Senator District 1,Karen M. Butler,DEM,Precinct 36,663,25.46
State Senator District 1,Karen M. Butler,DEM,Precinct 38,905,28.63
State Senator District 1,Karen M. Butler,DEM,Precinct 40,594,41.45
State Senator District 1,Karen M. Butler,DEM,Precinct 41,1031,53.25
State Senator District 1,Karen M. Butler,DEM,Precinct 42,783,32.78
State Senator District 1,Karen M. Butler,DEM,Precinct 43,1184,25.75
State Senator District 1,Karen M. Butler,DEM,Precinct 46,720,33.15
State Senator District 1,Karen M. Butler,DEM,Precinct 47,652,66.26
State Senator District 1,Karen M. Butler,DEM,Precinct 48,951,84.38
State Senator District 1,Karen M. Butler,DEM,Precinct 49,670,51.18
State Senator District 1,Karen M. Butler,DEM,Precinct 50,229,46.26
State Senator District 1,Karen M. Butler,DEM,Precinct 51,1194,45.57
State Senator District 1,Karen M. Butler,DEM,Precinct 54,696,39.46
State Senator District 1,Karen M. Butler,DEM,Precinct 55,617,34.51
State Senator District 1,Karen M. Butler,DEM,Precinct 56,979,62.40
State Senator District 1,Karen M. Butler,DEM,Precinct 58,304,34.70
State Senator District 1,Karen M. Butler,DEM,Precinct 60,584,80.66
State Senator District 1,Karen M. Butler,DEM,Precinct 61,934,44.14
State Senator District 1,Karen M. Butler,DEM,Precinct 62,1203,49.12
State Senator District 1,Karen M. Butler,DEM,Precinct 63,722,92.56
State Senator District 1,Karen M. Butler,DEM,Precinct 64,986,45.08
State Senator District 1,Karen M. Butler,DEM,Precinct 67,1420,29.71
State Senator District 1,Karen M. Butler,DEM,Precinct 68,657,35.86
State Senator District 1,Karen M. Butler,DEM,Precinct 69,1842,49.80
State Senator District 1,Karen M. Butler,DEM,Precinct 70,1142,53.39
State Senator District 1,Karen M. Butler,DEM,Precinct 71,683,49.24
State Senator District 1,Karen M. Butler,DEM,Precinct 72,323,44.67
State Senator District 1,Karen M. Butler,DEM,Precinct 73,1119,35.33
State Senator District 1,Karen M. Butler,DEM,Precinct 74,1171,25.70
State Senator District 1,Karen M. Butler,DEM,Precinct 75,1290,43.48
State Senator District 1,Karen M. Butler,DEM,Precinct 77,856,58.11
State Senator District 1,Karen M. Butler,DEM,Precinct 80,344,40.81
State Senator District 1,Karen M. Butler,DEM,Precinct 82,393,58.31
State Senator District 1,Karen M. Butler,DEM,Precinct 83,647,36.87
State Senator District 1,Karen M. Butler,DEM,Precinct 86,949,41.66
State Senator District 1,Karen M. Butler,DEM,Precinct 88,692,47.56
State Senator District 1,Karen M. Butler,DEM,Precinct 90,845,76.61
State Senator District 1,Karen M. Butler,DEM,Precinct 91,1869,41.70
State Senator District 1,Karen M. Butler,DEM,Precinct 94,608,25.34
State Senator District 1,Karen M. Butler,DEM,Precinct 95,520,30.14
State Senator District 1,Karen M. Butler,DEM,Precinct 97,509,34.82
State Senator District 1,Karen M. Butler,DEM,Precinct 98,2015,79.42
State Senator District 1,Karen M. Butler,DEM,Precinct 99,460,38.59
State Senator District 1,Karen M. Butler,DEM,Precinct 101,697,38.53
State Senator District 1,Karen M. Butler,DEM,Precinct 102,820,40.47
State Senator District 1,Karen M. Butler,DEM,Precinct 103,1187,72.42
State Senator District 1,Karen M. Butler,DEM,Precinct 104,1074,67.55
State Senator District 1,Karen M. Butler,DEM,Precinct 105,988,25.32
State Senator District 1,Karen M. Butler,DEM,Precinct 106,734,45.73
State Senator District 1,Karen M. Butler,DEM,Precinct 107,1363,40.59
State Senator District 1,Karen M. Butler,DEM,Precinct 108,1316,45.41
State Senator District 1,Karen M. Butler,DEM,Precinct 110,171,12.29
State Senator District 1,Karen M. Butler,DEM,Precinct 111,972,38.21
State Senator District 1,Karen M. Butler,DEM,Precinct 112,1667,31.73
State Senator District 1,Karen M. Butler,DEM,Precinct 113,488,45.40
State Senator District 1,Karen M. Butler,DEM,Precinct 114,582,24.70
State Representative District 1,Michelle Salzman,REP,Precinct 5,1907,76.56
State Representative District 1,Michelle Salzman,REP,Precinct 6,1034,75.42
State Representative District 1,Michelle Salzman,REP,Precinct 7,3921,77.44
State Representative District 1,Michelle Salzman,REP,Precinct 11,768,83.48
State Representative District 1,Michelle Salzman,REP,Precinct 18,418,90.48
State Representative District 1,Michelle Salzman,REP,Precinct 19,2940,86.34
State Representative District 1,Michelle Salzman,REP,Precinct 21,1665,68.89
State Representative District 1,Michelle Salzman,REP,Precinct 22,330,41.56
State Representative District 1,Michelle Salzman,REP,Precinct 23,594,91.38
State Representative District 1,Michelle Salzman,REP,Precinct 25,677,63.87
State Representative District 1,Michelle Salzman,REP,Precinct 26,3204,67.33
State Representative District 1,Michelle Salzman,REP,Precinct 28,323,17.54
State Representative District 1,Michelle Salzman,REP,Precinct 33,919,92.64
State Representative District 1,Michelle Salzman,REP,Precinct 34,438,24.68
State Representative District 1,Michelle Salzman,REP,Precinct 36,1961,75.54
State Representative District 1,Michelle Salzman,REP,Precinct 38,2382,75.50
State Representative District 1,Michelle Salzman,REP,Precinct 43,3554,77.26
State Representative District 1,Michelle Salzman,REP,Precinct 51,1523,58.33
State Representative District 1,Michelle Salzman,REP,Precinct 62,1314,53.81
State Representative District 1,Michelle Salzman,REP,Precinct 63,56,7.12
State Representative District 1,Michelle Salzman,REP,Precinct 68,1237,67.67
State Representative District 1,Michelle Salzman,REP,Precinct 69,1925,52.10
State Representative District 1,Michelle Salzman,REP,Precinct 70,1046,48.97
State Representative District 1,Michelle Salzman,REP,Precinct 74,3548,77.67
State Representative District 1,Michelle Salzman,REP,Precinct 75,1791,60.36
State Representative District 1,Michelle Salzman,REP,Precinct 80,522,61.63
State Representative District 1,Michelle Salzman,REP,Precinct 86,1395,61.21
State Representative District 1,Michelle Salzman,REP,Precinct 88,802,55.16
State Representative District 1,Michelle Salzman,REP,Precinct 91,2751,61.52
State Representative District 1,Michelle Salzman,REP,Precinct 101,1151,63.94
State Representative District 1,Michelle Salzman,REP,Precinct 102,1270,62.65
State Representative District 1,Michelle Salzman,REP,Precinct 103,499,30.46
State Representative District 1,Michelle Salzman,REP,Precinct 104,543,34.30
State Representative District 1,Michelle Salzman,REP,Precinct 110,1081,95.83
State Representative District 1,Michelle Salzman,REP,Precinct 111,1664,65.49
State Representative District 1,Michelle Salzman,REP,Precinct 112,3769,71.57
State Representative District 1,Michelle Salzman,REP,Precinct 113,600,56.13
State Representative District 1,Michelle Salzman,REP,Precinct 114,1841,78.04
State Representative District 1,Franscine C. Mathis,DEM,Precinct 5,584,23.44
State Representative District 1,Franscine C. Mathis,DEM,Precinct 6,337,24.58
State Representative District 1,Franscine C. Mathis,DEM,Precinct 7,1142,22.56
State Representative District 1,Franscine C. Mathis,DEM,Precinct 11,152,16.52
State Representative District 1,Franscine C. Mathis,DEM,Precinct 18,44,9.52
State Representative District 1,Franscine C. Mathis,DEM,Precinct 19,465,13.66
State Representative District 1,Franscine C. Mathis,DEM,Precinct 21,752,31.11
State Representative District 1,Franscine C. Mathis,DEM,Precinct 22,464,58.44
State Representative District 1,Franscine C. Mathis,DEM,Precinct 23,56,8.62
State Representative District 1,Franscine C. Mathis,DEM,Precinct 25,383,36.13
State Representative District 1,Franscine C. Mathis,DEM,Precinct 26,1555,32.67
State Representative District 1,Franscine C. Mathis,DEM,Precinct 28,1519,82.46
State Representative District 1,Franscine C. Mathis,DEM,Precinct 33,73,7.36
State Representative District 1,Franscine C. Mathis,DEM,Precinct 34,1337,75.32
State Representative District 1,Franscine C. Mathis,DEM,Precinct 36,635,24.46
State Representative District 1,Franscine C. Mathis,DEM,Precinct 38,773,24.50
State Representative District 1,Franscine C. Mathis,DEM,Precinct 43,1046,22.74
State Representative District 1,Franscine C. Mathis,DEM,Precinct 51,1088,41.67
State Representative District 1,Franscine C. Mathis,DEM,Precinct 62,1128,46.19
State Representative District 1,Franscine C. Mathis,DEM,Precinct 63,730,92.88
State Representative District 1,Franscine C. Mathis,DEM,Precinct 68,591,32.33
State Representative District 1,Franscine C. Mathis,DEM,Precinct 69,1770,47.90
State Representative District 1,Franscine C. Mathis,DEM,Precinct 70,1090,51.03
State Representative District 1,Franscine C. Mathis,DEM,Precinct 74,1020,22.33
State Representative District 1,Franscine C. Mathis,DEM,Precinct 75,1176,39.64
State Representative District 1,Franscine C. Mathis,DEM,Precinct 80,325,38.37
State Representative District 1,Franscine C. Mathis,DEM,Precinct 86,884,38.79
State Representative District 1,Franscine C. Mathis,DEM,Precinct 88,652,44.84
State Representative District 1,Franscine C. Mathis,DEM,Precinct 91,1721,38.48
State Representative District 1,Franscine C. Mathis,DEM,Precinct 101,649,36.06
State Representative District 1,Franscine C. Mathis,DEM,Precinct 102,757,37.35
State Representative District 1,Franscine C. Mathis,DEM,Precinct 103,1139,69.54
State Representative District 1,Franscine C. Mathis,DEM,Precinct 104,1040,65.70
State Representative District 1,Franscine C. Mathis,DEM,Precinct 110,47,4.17
State Representative District 1,Franscine C. Mathis,DEM,Precinct 111,877,34.51
State Representative District 1,Franscine C. Mathis,DEM,Precinct 112,1497,28.43
State Representative District 1,Franscine C. Mathis,DEM,Precinct 113,469,43.87
State Representative District 1,Franscine C. Mathis,DEM,Precinct 114,518,21.96
State Representative District 2,Alex Andrade,REP,Precinct 1,2190,58.01
State Representative District 2,Alex Andrade,REP,Precinct 3,1525,56.07
State Representative District 2,Alex Andrade,REP,Precinct 14,276,17.88
State Representative District 2,Alex Andrade,REP,Precinct 15,1092,62.19
State Representative District 2,Alex Andrade,REP,Precinct 24,1717,60.63
State Representative District 2,Alex Andrade,REP,Precinct 29,560,38.97
State Representative District 2,Alex Andrade,REP,Precinct 30,1277,60.95
State Representative District 2,Alex Andrade,REP,Precinct 31,452,29.50
State Representative District 2,Alex Andrade,REP,Precinct 32,237,50.21
State Representative District 2,Alex Andrade,REP,Precinct 35,984,54.19
State Representative District 2,Alex Andrade,REP,Precinct 40,776,54.19
State Representative District 2,Alex Andrade,REP,Precinct 41,849,43.76
State Representative District 2,Alex Andrade,REP,Precinct 42,1489,62.04
State Representative District 2,Alex Andrade,REP,Precinct 46,1346,61.77
State Representative District 2,Alex Andrade,REP,Precinct 47,318,32.38
State Representative District 2,Alex Andrade,REP,Precinct 48,173,15.39
State Representative District 2,Alex Andrade,REP,Precinct 49,600,45.98
State Representative District 2,Alex Andrade,REP,Precinct 50,257,51.92
State Representative District 2,Alex Andrade,REP,Precinct 54,1044,59.62
State Representative District 2,Alex Andrade,REP,Precinct 55,1151,64.63
State Representative District 2,Alex Andrade,REP,Precinct 56,559,35.81
State Representative District 2,Alex Andrade,REP,Precinct 58,544,62.53
State Representative District 2,Alex Andrade,REP,Precinct 60,133,18.42
State Representative District 2,Alex Andrade,REP,Precinct 61,1179,56.01
State Representative District 2,Alex Andrade,REP,Precinct 64,1141,52.24
State Representative District 2,Alex Andrade,REP,Precinct 67,3302,69.38
State Representative District 2,Alex Andrade,REP,Precinct 71,664,48.19
State Representative District 2,Alex Andrade,REP,Precinct 72,380,52.63
State Representative District 2,Alex Andrade,REP,Precinct 73,2014,63.71
State Representative District 2,Alex Andrade,REP,Precinct 77,609,41.46
State Representative District 2,Alex Andrade,REP,Precinct 82,269,40.45
State Representative District 2,Alex Andrade,REP,Precinct 83,1090,62.39
